cluster,word,frequency,rank
1,โง่,2,274
1,แปลก,2,275
1,ต่อมา,2,276
1,ที่นี่,2,277
1,ขัง,2,278
1,ถ้ำ,2,279
1,ตั้งสัตย์ปฏิญาณ,2,280
1,สั่งสม,2,281
1,เหาะ,2,282
1,เมฆ,2,283
1,ทิพย์,2,284
1,สืบไป,2,285
1,หายนะ,2,286
1,ชาวบ้าน,2,287
1,พระบรมศาสดา,2,288
1,เจริญ,2,289
1,การทำ,2,290
1,พระเจ้า,2,291
1,พรหมทัต,2,292
1,ครองราชสมบัติ,2,293
1,แม่น้ำ,2,294
1,มาลัย,2,295
1,สั่ง,2,296
1,สวยงาม,2,297
1,พลัน,2,298
1,ระลึกชาติ,2,299
1,กาลนี้,2,300
1,ถูกนำ,2,301
1,เปล่งเสียงหัวเราะ,2,302
1,เปลี่ยนเป็น,2,303
1,พิศวง,2,304
1,กลัว,2,305
1,แล้วก็,2,306
1,ฮ่า,2,307
1,เพราะเหตุใด,2,308
1,สิ้นสุด,2,309
1,ความทุกข์,2,310
1,จากความตาย,2,311
1,ขอบคุณ,2,312
1,บาป,2,313
1,ใบไม้,2,314
1,ชะเง้อ,2,315
1,คอกิน,2,316
1,ด้านหลัง,2,317
1,ขนาดใหญ่,2,318
1,คมกริบ,2,319
1,ฟ้าผ่า,2,320
1,กระเด็น,2,321
1,เชือน,2,322
1,ได้ยิน,2,323
1,ปราก,2,324
1,ทุกข์,2,325
1,เศร้าโศก,2,326
1,ประทับ,2,327
1,วิหาร,2,328
1,รูป,2,329
1,กุลบุตร,2,330
1,เล่าเรียน,2,331
1,ในขณะที่,2,332
1,รูปอื่นๆ,2,333
1,ท่อง,2,334
1,กิจ,2,335
1,ทั้งคืน,2,336
1,ตักเตือน,2,337
1,ที่อยู่,2,338
1,กล่าวโทษ,2,339
1,ทุกคืน,2,340
1,ดูก่อนภิกษุ,2,341
1,ประชุม,2,342
1,พระเจ้าข้า,2,343
1,สกุล,2,344
1,อุท,2,345
1,ิจจ,2,346
1,พระนครพาราณสี,2,347
1,ผู้มีชื่อเสียง,2,348
1,ฝากตัว,2,349
1,พลัด,2,350
1,เข้ามายัง,2,351
1,ลูกไก่,2,352
1,ข้าวเปลือก,2,353
1,มาศึกษา,2,354
1,เตรียมตัว,2,355
1,ทำหน้าที่,2,356
1,ข้าว่า,2,357
1,แล้วรึ,2,358
1,ช่วยกัน,2,359
1,แล้วนำ,2,360
1,เติบโต,2,361
1,บางคราวก็,2,362
1,เอ้,2,363
1,รู้สึก,2,364
1,นั่นสิ,2,365
1,อยู่เลย,2,366
1,ฝัน,2,367
1,เที่ยง,2,368
1,อีกแล้ว,2,369
1,บางคน,2,370
1,เสียการเรียน,2,371
1,กันได้,2,372
1,กำเนิด,2,373
1,เสวยพระชาติ,2,374
1,หนุ่มใหญ่,2,375
1,กลุ้มใจจริง,2,376
1,มานั่ง,2,377
1,บ้านก็,2,378
1,เดี๋ยว,2,379
1,สิบ,2,380
1,เป็นเหตุให้,2,381
1,หวัง,2,382
1,เชอะ,2,383
1,ต่อให้,2,384
1,ไหม,2,385
1,เออ,2,386
1,ทราบ,2,387
1,มุ่งมั่น,2,388
1,ดวงใจ,2,389
1,เพียร,2,390
1,แตกเนื้อหนุ่ม,2,391
1,เข้ามา,2,392
1,มีใจ,2,393
1,เดือดร้อน,2,394
1,กล้า,2,395
1,กัด,2,396
1,กินใจ,2,397
1,ครองเรือนกัน,2,398
1,คนละ,2,399
1,ลักษณะ,2,400
1,เซ็ง,2,401
1,จิต,2,402
1,มาบน,2,403
1,เรือน,2,404
1,สั่งสอน,2,405
1,กำชับ,2,406
1,เดินทาง,2,407
1,ไปหา,2,408
1,ไอ้,2,409
1,ได้มานั่ง,2,410
1,เรือนกัน,2,411
1,อบรม,2,412
1,นึกถึง,2,413
1,เติบใหญ่,2,414
1,คนเดียว,2,415
1,ต่อไป,2,416
1,วันที่,2,417
1,อ๋อ,2,418
1,ธุระ,2,419
1,ครั้น,2,420
1,ท้าย,2,421
1,หมู่บ้าน,2,422
1,ตัวเอง,2,423
1,กราบกราน,2,424
1,ปัญหา,2,425
1,สังเกต,2,426
1,หากกระผม,2,427
1,การมี,2,428
1,ปริศนาธรรม,2,429
1,กระจ่าง,2,430
1,พึงใจ,2,431
1,นี้แหละ,2,432
1,เองก็,2,433
1,ลับ,2,434
1,อีกครั้งหนึ่ง,2,435
1,เป็นผู้ใหญ่,2,436
1,คู่ครอง,2,437
1,ความรู้,2,438
1,พิจารณา,2,439
1,ให้พราหมณ์,2,440
1,ถี่ถ้วน,2,441
1,ประเภท,2,442
1,นึกย้อน,2,443
1,เยี่ยม,2,444
1,ตกลงปลงใจ,2,445
1,ชอบ,2,446
1,เหรอ,2,447
1,คู่หมั้น,2,448
1,ความสัมพันธ์,2,449
1,วัย,2,450
1,สอง,2,451
1,ห่างไกล,2,452
1,ปฏิบัติธรรม,2,453
1,โดยมี,2,454
1,ทันที่,2,455
1,มาหา,2,456
1,เนอะ,2,457
1,พี่สาว,2,458
1,กลับมา,2,459
1,ย้าย,2,460
1,เรื่อยมา,2,461
1,ประพฤติชอบ,2,462
1,ออกเรือน,2,463
1,มีประโยชน์,2,464
1,รูปสมบัติ,2,465
2,พระ,112,1
2,ลูก,74,2
2,นกยูง,71,3
2,เจ้า,63,4
2,ศาสดา,59,5
2,ทอง,51,6
2,ธรรม,45,7
2,ภิกษุ,45,8
2,หงส์,44,9
2,ชาติ,36,10
2,หนุ่ม,34,11
2,พราหมณ์,32,12
2,พ่อ,26,13
2,ฟัง,26,14
2,ตัว,25,15
2,ท่าน,24,16
2,แม่,23,17
2,ทั้งสอง,23,18
2,พญา,23,19
2,นายพราน,23,20
2,องค์,22,21
2,ฟืน,22,22
2,พราหมณี,21,23
2,พากัน,21,24
2,สมณะ,18,25
2,ตรัส,17,26
2,เวลา,17,27
2,เกียจคร้าน,16,28
2,ป่า,16,29
2,มานพ,16,30
2,เล่า,15,31
2,บำเพ็ญ,15,32
2,พระราชา,15,33
2,วินิลกะ,14,34
2,ที่จะ,13,35
2,ขององค์,12,36
2,อาจารย์,12,37
2,พวกเรา,12,38
2,ครั้น,12,39
2,อดีตชาติ,11,40
2,ท่านอาจารย์,11,41
2,ประทับ,10,42
2,เถระ,10,43
2,ไปยัง,9,44
2,บรรลุ,9,45
2,ุมพิก,9,46
2,กุ่ม,9,47
2,ไม้,9,48
2,พระเจ้า,9,49
2,เทหะ,9,50
2,บิน,9,51
2,พระพุทธองค์,8,52
2,พระองค์,8,53
2,เรื่อง,8,54
2,บรรดา,8,55
2,ล่ะ,8,56
2,ดีกว่า,8,57
2,ยอดเขา,8,58
2,ภิกษุสงฆ์,7,59
2,ถวาย,7,60
2,น้า,7,61
2,รัก,7,62
2,กิน,7,63
2,กุลบุตร,7,64
2,เดินทาง,7,65
2,วิหาร,7,66
2,นั่ง,7,67
2,โอ๊ย,7,68
2,แตก,7,69
2,หัก,7,70
2,ไปหา,7,71
2,ช่าง,7,72
2,รัง,7,73
2,ท่านพ่อ,7,74
2,สัตว์,7,75
2,ฝูง,7,76
2,ยูง,7,77
2,เมือง,6,78
2,เท้า,6,79
2,สัมมา,6,80
2,สัมพุทธ,6,81
2,เอ๋ย,6,82
2,ย่า,6,83
2,พระบรมศาสดา,6,84
2,เสด็จ,6,85
2,ขอรับ,6,86
2,จัก,6,87
2,ชายป่า,6,88
2,แห้ง,6,89
2,ตื่น,6,90
2,เทวทัต,6,91
2,อาศัย,6,92
2,เกาะ,6,93
2,เจียมตัว,6,94
2,เทศนา,6,95
2,หิมพานต์,6,96
2,ดัก,6,97
2,พราน,6,98
2,เหตุการณ์,5,99
2,ตถาคต,5,100
2,นิมนต์,5,101
2,ปู่,5,102
2,หลาน,5,103
2,จิตใจ,5,104
2,เชตวัน,5,105
2,สหาย,5,106
2,สาธุ,5,107
2,ข้าพระองค์,5,108
2,กรรมฐาน,5,109
2,ทราบ,5,110
2,รีบ,5,111
2,สำหรับ,5,112
2,สดๆ,5,113
2,ต้ม,5,114
2,ข้าว,5,115
2,แท้ๆ,5,116
2,วินีล,5,117
2,นางกา,5,118
2,เทียม,5,119
2,ชีวิต,5,120
2,ปริตร,5,121
2,ตาย,5,122
2,จากนกยูง,5,123
2,ครวญ,4,124
2,สงสัย,4,125
2,แล้วก็,4,126
2,มือ,4,127
2,คุ้นเคย,4,128
2,เฝ้า,4,129
2,เข้าเฝ้า,4,130
2,ออกจาก,4,131
2,ศึกษา,4,132
2,รู้,4,133
2,เจริญ,4,134
2,พระเจ้าข้า,4,135
2,ความเพียร,4,136
2,แคว้น,4,137
2,ชาดก,4,138
2,ตัก,4,139
2,ศิลา,4,140
2,นอน,4,141
2,กิ่งไม้,4,142
2,กิจ,4,143
2,สอง,4,144
2,โพธิ,4,145
2,เขียว,4,146
2,น้อง,4,147
2,ม้า,4,148
2,บ้าน,4,149
2,หญิงสาว,4,150
2,คอย,4,151
2,เหมือน,4,152
2,วันหนึ่ง,4,153
2,สวด,4,154
2,ซุ่ม,4,155
2,ให้ได้,4,156
2,เจ็ด,4,157
2,เสียง,4,158
2,ธนู,4,159
2,สาเกต,3,160
2,วัด,3,161
2,แทบ,3,162
2,ข้อเท้า,3,163
2,ครำ,3,164
2,บุตร,3,165
2,ความสงสัย,3,166
2,บิดา,3,167
2,สนิทสนม,3,168
2,เดี๋ยว,3,169
2,เสมอ,3,170
2,ความรัก,3,171
2,ลึกซึ้ง,3,172
2,หอม,3,173
2,ดอกไม้,3,174
2,ถวายบังคม,3,175
2,พรรษา,3,176
2,ขอให้,3,177
2,ตั้งใจ,3,178
2,ออกเดินทาง,3,179
2,เฮ้อ,3,180
2,หมู่บ้าน,3,181
2,ตำบล,3,182
2,พระอรหันต์,3,183
2,ออกพรรษา,3,184
2,วรุณ,3,185
2,ต้น,3,186
2,เหล่ามานพ,3,187
2,ปลุก,3,188
2,กิ่ง,3,189
2,ทาสี,3,190
2,ทิศาปาโมกข์,3,191
2,ศิษย์,3,192
2,ต้นไม้,3,193
2,ตั้งชื่อ,3,194
2,นั่นสิ,3,195
2,ของมัน,3,196
2,ราชรถ,3,197
2,เดิม,3,198
2,เดือน,3,199
2,บ้านของ,3,200
2,ภูเขา,3,201
2,มีนกยูง,3,202
2,น้ำ,3,203
2,ทองก็,3,204
2,ทิวเขา,3,205
2,ถ้ำ,3,206
2,ทรัพย์,3,207
2,เขมา,3,208
2,พระนาง,3,209
2,มเหสี,3,210
2,เทวี,3,211
2,ลูกนายพราน,3,212
2,บ่วง,3,213
2,บ่วงบาศก์,3,214
2,คนที่,3,215
2,ติด,3,216
2,ขัน,3,217
2,เข้าไป,3,218
2,เป็นอิสระ,3,219
2,ปลดปล่อย,3,220
2,สัจ,3,221
2,พระพุทธเจ้า,2,222
2,อัญ,2,223
2,หมู่,2,224
2,หมอบ,2,225
2,ธรรมดาบุตร,2,226
2,ชรา,2,227
2,เรื่องราวที่เกิดขึ้น,2,228
2,พระภิกษุสงฆ์,2,229
2,เหตุใด,2,230
2,เองก็,2,231
2,ต่อหน้า,2,232
2,บ้า,2,233
2,แปลก,2,234
2,คร่ำครวญ,2,235
2,เรือนของ,2,236
2,แม่เจ้า,2,237
2,ร้องไห้,2,238
2,พี่,2,239
2,ชาวบ้าน,2,240
2,ทำให้พราหมณ์,2,241
2,รู้อยู่,2,242
2,สนทนา,2,243
2,ติดต่อกัน,2,244
2,ไม่ขาดสาย,2,245
2,เป็นมารดา,2,246
2,คลอด,2,247
2,ดูแลบุตร,2,248
2,เลี้ยงดู,2,249
2,อาจะ,2,250
2,ของการ,2,251
2,เจอกับ,2,252
2,รู้สึก,2,253
2,ให้กำเนิด,2,254
2,ความเจ็บปวด,2,255
2,เป็นผู้ใหญ่,2,256
2,เด็ก,2,257
2,อย่า,2,258
2,หมา,2,259
2,ความสัมพันธ์,2,260
2,ชาวสาวัตถี,2,261
2,มหา,2,262
2,ชาวเมือง,2,263
2,สาวัตถี,2,264
2,พัก,2,265
2,ธรรมสภา,2,266
2,พระธรรม,2,267
2,ความตั้งใจ,2,268
2,ปรึกษา,2,269
2,อุปัชฌาย์,2,270
2,เรียน,2,271
2,จีวร,2,272
2,สำเร็จ,2,273
2,ข้อ,2,274
2,การบำเพ็ญ,2,275
2,หลังจากที่,2,276
2,สำนัก,2,277
2,รูป,2,278
2,พระอุปัชฌาย์,2,279
2,เพื่อนภิกษุ,2,280
2,ทำความเพียร,2,281
2,กราบทูล,2,282
2,ต่อไป,2,283
2,ได้รับคำชม,2,284
2,ประสงค์,2,285
2,เหมือนกัน,2,286
2,รีบเร่ง,2,287
2,กลิ้ง,2,288
2,กระดูก,2,289
2,เจ็บ,2,290
2,ถาม,2,291
2,พระโพธิสัตว์,2,292
2,เสวยพระชาติ,2,293
2,สาปาโมกข์,2,294
2,เล่าเรียน,2,295
2,หอบเอา,2,296
2,มัด,2,297
2,คนอื่น,2,298
2,เค้า,2,299
2,แบก,2,300
2,ลุกขึ้น,2,301
2,ปีนขึ้นต้น,2,302
2,คนอื่นๆ,2,303
2,ขี้เกียจ,2,304
2,พรุ่งนี้,2,305
2,เรียนเชิญ,2,306
2,แต่เช้าตรู่,2,307
2,หอบ,2,308
2,ที่มานพ,2,309
2,ลุก,2,310
2,ดวงอาทิตย์,2,311
2,เตรียม,2,312
2,บุคคล,2,313
2,โทษ,2,314
2,ขั้นตอน,2,315
2,กำเนิด,2,316
2,เวฬุวัน,2,317
2,สุคต,2,318
2,แสดงท่าทาง,2,319
2,พระอัครสาวก,2,320
2,มาสู่,2,321
2,สีสะ,2,322
2,ดูก่อน,2,323
2,สารีบุตร,2,324
2,ความพินาศ,2,325
2,พระธรรมเทศนานี้,2,326
2,เสวยราชสมบัติ,2,327
2,กรุงมิถิลา,2,328
2,สัตย์,2,329
2,ศิลปศาสตร์,2,330
2,ทุกชนิด,2,331
2,แอบ,2,332
2,มันวาว,2,333
2,เหมือนทั้ง,2,334
2,กานั้น,2,335
2,ถูกมนุษย์,2,336
2,เทียมม้า,2,337
2,สิน,2,338
2,แบบนี้,2,339
2,คาบ,2,340
2,ตัวเอง,2,341
2,เทียบ,2,342
2,ประชุม,2,343
2,พระพุทธศาสนา,2,344
2,เครื่อง,2,345
2,ยึดเหนี่ยว,2,346
2,ออกบวช,2,347
2,ปฏิบัติธรรม,2,348
2,หญิง,2,349
2,เป็นเรื่อง,2,350
2,ไหม,2,351
2,กิเลส,2,352
2,นับวัน,2,353
2,พูดคุยกับ,2,354
2,หญิงสาวที่,2,355
2,คิดถึง,2,356
2,มีความสุข,2,357
2,ความสุข,2,358
2,ปรารภ,2,359
2,ชื่นใจ,2,360
2,วุ่นวาย,2,361
2,ไกลออก,2,362
2,หากิน,2,363
2,ทิ้ง,2,364
2,นกยูงมี,2,365
2,ธรรมดา,2,366
2,ร่างกาย,2,367
2,อันตราย,2,368
2,บินหนี,2,369
2,ที่สี่,2,370
2,ปลอดภัย,2,371
2,ที่อยู่,2,372
2,รุ่งขึ้น,2,373
2,สุริยะ,2,374
2,มณฑล,2,375
2,คุ้มครอง,2,376
2,ป้องกัน,2,377
2,ตอนเย็น,2,378
2,พาราณสี,2,379
2,ไข่,2,380
2,สั่งเสีย,2,381
2,เลือก,2,382
2,ฝัน,2,383
2,บรรทม,2,384
2,แพ้,2,385
2,จับตัว,2,386
2,ตรอมใจ,2,387
2,ปรารถนา,2,388
2,ขอเดชะ,2,389
2,พระเจ้าค่ะ,2,390
2,รับสั่ง,2,391
2,เมีย,2,392
2,สิ้นพระชนม์,2,393
2,ตามล่า,2,394
2,จารึก,2,395
2,เนื้อ,2,396
2,ทหาร,2,397
2,ได้เสียชีวิต,2,398
2,เคยติดกับดัก,2,399
2,เจริญพระ,2,400
2,พรหมจรรย์,2,401
2,อานุภาพ,2,402
2,ดีดนิ้วมือ,2,403
2,ฟ้อน,2,404
2,อำนาจกิเลส,2,405
2,ในขณะนั้น,2,406
2,เล็ง,2,407
2,จองจำไว้,2,408
2,มรรค,2,409
2,จองจำ,2,410
2,คาถา,2,411
2,พ้น,2,412
2,เพศ,2,413
2,สัจธรรม,2,414
3,เศรษฐี,69,1
3,โจร,53,2
3,เจ้า,41,3
3,ชาย,39,4
3,มหา,36,5
3,ธิดา,28,6
3,สามา,24,7
3,ตัว,21,8
3,หนี,21,9
3,ค่อม,19,10
3,ลูก,18,11
3,อุสภ,17,12
3,ภิกษุ,17,13
3,ท่าน,16,14
3,บุตรสาว,15,15
3,บุรุษ,14,16
3,หญิง,13,17
3,ราช,13,18
3,พี่,13,19
3,พระ,12,20
3,รู้,12,21
3,น้อง,11,22
3,เลือก,11,23
3,ลูกสาว,11,24
3,บุตร,10,25
3,พ่อ,10,26
3,แม่,9,27
3,ดังนั้น,7,28
3,เดิน,7,29
3,ภรรยาเก่า,7,30
3,ปล้น,7,31
3,พัน,7,32
3,สาว,6,33
3,ฐานะ,6,34
3,ภรรยา,6,35
3,หลบหนี,6,36
3,หนาว,6,37
3,ว่านาง,6,38
3,กรุง,5,39
3,คู่ครอง,5,40
3,เป็นใหญ่,5,41
3,สินะ,5,42
3,ร้องไห้,5,43
3,คณิกา,5,44
3,ฟัง,5,45
3,เฝ้า,5,46
3,ทรัพย์,5,47
3,ตาย,5,48
3,ฟ้อน,5,49
3,บ้าน,4,50
3,หมู่บ้าน,4,51
3,เป็นที่หมายปอง,4,52
3,เอ๋ย,4,53
3,เล่า,4,54
3,เรื่อง,4,55
3,โหนก,4,56
3,คิดได้,4,57
3,เดี๋ยว,4,58
3,สัมมา,4,59
3,สัมพุทธ,4,60
3,พาราณสี,4,61
3,ครองรัก,4,62
3,ตรัส,4,63
3,กุลบุตร,4,64
3,ถวาย,4,65
3,อาจารย์,4,66
3,ล่ะ,4,67
3,สึก,4,68
3,ศาสดา,4,69
3,พระราชา,4,70
3,ถูกนำ,4,71
3,สามี,4,72
3,เจ้าหน้าที่,4,73
3,พี่ชาย,4,74
3,เงิน,4,75
3,โทษ,4,76
3,ฆ่า,4,77
3,พบเห็น,3,78
3,ถูกใจ,3,79
3,ดูแล,3,80
3,ของบุรุษ,3,81
3,แต่งงาน,3,82
3,เครื่อง,3,83
3,สักการะ,3,84
3,ชายหนุ่ม,3,85
3,ชื่อ,3,86
3,ต้องมี,3,87
3,โอ้,3,88
3,ช่าง,3,89
3,คืน,3,90
3,ปลอมตัว,3,91
3,รีบ,3,92
3,เป็นสาว,3,93
3,แต่งงานกับ,3,94
3,มีความสุข,3,95
3,มากับ,3,96
3,ครั้น,3,97
3,ชาวบ้าน,3,98
3,น้ำข้าว,3,99
3,อาหาร,3,100
3,เวลา,3,101
3,ตัด,3,102
3,ต้องการ,3,103
3,จับตัว,3,104
3,วันหนึ่ง,3,105
3,แห่งหนึ่ง,3,106
3,พวกเรา,3,107
3,แก่นาง,3,108
3,แล้วก็,3,109
3,ปล่อย,3,110
3,อย่า,3,111
3,ท่านพี่,3,112
3,ยังมีชีวิตอยู่,3,113
3,บรรดา,3,114
3,สาวัตถี,2,115
3,เจริญวัย,2,116
3,รูปโฉมงดงาม,2,117
3,ชายมากมายมาสู่ขอ,2,118
3,เลือกคู่ครอง,2,119
3,บุตรชาย,2,120
3,มากมายมาสู่ขอบุตรสาว,2,121
3,คุณหนู,2,122
3,นูนกว่า,2,123
3,ถ้าอย่างนั้น,2,124
3,พ่อแม่,2,125
3,เหมาะสม,2,126
3,หมู่,2,127
3,โหนกนูน,2,128
3,เหมือนกับ,2,129
3,หญิงสาว,2,130
3,ตลาด,2,131
3,พี่เลี้ยง,2,132
3,เจอกับ,2,133
3,พลัน,2,134
3,สาวก็,2,135
3,เอ๊ะ,2,136
3,นัดแนะ,2,137
3,วางแผน,2,138
3,ท้าย,2,139
3,กลางดึก,2,140
3,คืนนี้,2,141
3,เป็นบุญ,2,142
3,รูปโฉม,2,143
3,ตกใจมาก,2,144
3,ทราบ,2,145
3,ออกจากบ้าน,2,146
3,ใส่,2,147
3,ผ้า,2,148
3,รุ่งเช้า,2,149
3,ตัวเอง,2,150
3,ตระกูล,2,151
3,ปรารถนา,2,152
3,ร่ำรวย,2,153
3,เต็มตัว,2,154
3,สัก,2,155
3,มาสู่ขอ,2,156
3,แต่ละคน,2,157
3,หรอก,2,158
3,แถม,2,159
3,เรือนของ,2,160
3,เหรอ,2,161
3,หนาวเหน็บ,2,162
3,แอบ,2,163
3,ฝัน,2,164
3,หนาวสั่น,2,165
3,ความลำบาก,2,166
3,ชีวิต,2,167
3,ตลอดคืน,2,168
3,ไหว,2,169
3,ช่วยเหลือ,2,170
3,ฮือ,2,171
3,นอน,2,172
3,นั่ง,2,173
3,รูปงาม,2,174
3,พระบรมศาสดา,2,175
3,พระธรรมเทศนานี้,2,176
