chapter,entity,entity_type,count
5,พระสัมมาสัมพุทธเจ้า,PERSON,3
5,พระสัมมาสัมพุทธเจ้าหมู่,PERSON,1
5,พราหมณี,PERSON,7
5,พราหมณีร้องไห้คร่ำครวญต่อหน้าขององค์พระศาสดา,PERSON,1
5,พี่พระพุทธเจ้า,PERSON,1
5,พ่อรักลูก,PERSON,1
5,ภิกษุสงฆ์สนทนา,PERSON,1
5,ลูก,PERSON,1
5,องค์พระศาสดาชาติ,PERSON,1
5,เดี๋ยวแม่เดี๋ยวกิน,PERSON,1
6,กิจ,DATE,1
6,พรุ่งนี้,DATE,2
6,พระศาสดา,LOCATION,1
6,เมืองตักศิลา,LOCATION,1
6,สำนักท่านอาจารย์,ORGANIZATION,1
6,กราบทูลพระศาสดา,PERSON,1
6,กุลบุตรชาวสาวัตถี,PERSON,1
6,คนอื่นเค้าแบกฟืน,PERSON,1
6,จีวร,PERSON,1
6,ทาสีฟืน,PERSON,1
6,บำเพ็ญสมณะธรรม,PERSON,1
6,ประทับนั่ง,PERSON,1
6,พระ,PERSON,1
6,พระศาสดา,PERSON,6
6,พระศาสดาตรัส,PERSON,1
6,พระุมพิกเถระ,PERSON,5
6,พระุมพิกเถระพระพระศาสดา,PERSON,1
6,พระุมพิกเถระเกียจคร้านทำความเพียรการบำเพ็ญสมณะธรรมพวกเรา,PERSON,1
6,พระเชตวันมหาประทับพระบรมศาสดาเจ้า,PERSON,1
6,พระเชตวันมหาวิหาร,PERSON,1
6,พวกเราจักบำเพ็ญสมณะธรรม,PERSON,1
6,สมณะธรรมขอรับ,PERSON,1
6,สมณะธรรมพระศาสดา,PERSON,1
6,อาจารย์สาปาโมกข์เมืองตักศิลาครั้นมานพ,PERSON,1
6,ุมพิกเถระ,PERSON,2
6,เถระสหาย,PERSON,1
6,แท้ๆฟืน,PERSON,1
7,หงส์,LOCATION,1
7,เกาะกิ่งไม้,LOCATION,1
7,เทหะประทับราชรถ,LOCATION,1
7,เมืองตักศิลา,LOCATION,1
7,น้องพวกเรา,PERSON,1
7,น้องเจ้าอาศัย,PERSON,1
7,บินไปยังรังพญาหงส์ลูกหงส์ทั้งสอง,PERSON,1
7,พระพระเจ้าเทหะพระอัครสาวกเสด็จมาสู่สีสะครั้น,PERSON,1
7,พระศาสดา,PERSON,1
7,พระศาสดาตรัส,PERSON,1
7,พระเจ้าเทหะ,PERSON,2
7,พระเจ้าเทหะเสวยราชสมบัติกรุงมิถิลาลูก,PERSON,1
7,พระเทวทัตนอนแสดงท่าทาง,PERSON,1
7,พระเทวทัตนอนแสดงท่าทางพระสุคตพระอัครสาวกทั้งสองมาสู่สีสะศาสดาประทับพระวิหารทั้งสองครั้นพระวิหารเวฬุวัน,PERSON,1
7,พระเทวทัตพระองค์,PERSON,1
7,ลูกกานั้นไปหาลูกพระโพธิสัตย์,PERSON,1
7,วินีล,PERSON,1
7,หงส์ทั้งสองต้นไม้พญาหงส์ลูกหงส์,PERSON,1
7,หงส์ทั้งสองวินิลกะบิน,PERSON,1
7,เจ้าประทับพระวิหารเวฬุวันพระเทวทัตพระสุคต,PERSON,1
7,แคว้นเทหะ,PERSON,1
7,แคว้นเทหะพระโพธิสัตย์พระ,PERSON,1
7,แม่,PERSON,1
8,นกยูงเกาะยอดเขา,LOCATION,1
8,น้ำพระมเหสี,LOCATION,1
8,บ้าน,LOCATION,1
8,พาราณสีสวดพระปริตร,LOCATION,1
8,ครั้นยูงทองร่างกาย,PERSON,1
8,ตอนเย็นนกยูงทองก็เกาะยอดเขาสุริยะมณฑลนกยูง,PERSON,1
8,นกยูง,PERSON,3
8,นกยูงขัน,PERSON,1
8,นกยูงทอง,PERSON,1
8,นกยูงทองก็เจริญพระศาสดา,PERSON,1
8,นกยูงทองนกยูงทองรีบบินยูง,PERSON,1
8,นกยูงทองเหมือน,PERSON,1
8,นกยูงนายพราน,PERSON,1
8,นายพรานฟังธรรมจากนกยูงทองบรรลุธรรม,PERSON,1
8,พระราชาพระ,PERSON,1
8,พระศาสดา,PERSON,1
8,พระสัจ,PERSON,1
8,พ่อฟังเทศนาธรรม,PERSON,1
8,ฟัง,PERSON,1
8,ฟังธรรมจากนกยูงทอง,PERSON,2
8,ยูง,PERSON,1
8,ลูกพ่อ,PERSON,1
8,ล่ะเจ้านกยูงทองเอ๋ย,PERSON,1
8,สัจ,PERSON,1
8,สัจธรรมดาสัตว์,PERSON,1
8,หิมพานต์อาศัย,PERSON,1
8,เจ้านกยูงทองเอ๋ย,PERSON,1
8,เทวีปรารถนาฟังธรรมนกยูงทองนกยูงมี,PERSON,1
9,กรุงพาราณสี,LOCATION,3
9,กรุงสาวัตถี,LOCATION,1
9,กรุงสาวัตถีบ้านเศรษฐี,LOCATION,1
9,หมู่,LOCATION,1
9,หมู่ภิกษุ,LOCATION,1
9,ราช,ORGANIZATION,1
9,ชายค่อมบุรุษอุสภราช,PERSON,1
9,ชายบุรุษบุรุษอุสภราช,PERSON,1
9,น้อง,PERSON,1
9,น้องพี่หนีพี่พี่ฝัน,PERSON,1
9,น้องหนาว,PERSON,1
9,น้องเอ๋ย,PERSON,1
9,พระสัมมาสัมพุทธเจ้า,PERSON,2
9,ภรรยาชายหนุ่มร่ำรวยมากมายมาสู่ขอบุตรสาวท่านลูกเอ๋ย,PERSON,1
9,อุสภคุณหนู,PERSON,1
9,อุสภราช,PERSON,1
9,เศรษฐีบุตรเศรษฐีเจริญวัยเป็นสาวเต็มตัว,PERSON,1
9,เศรษฐีสินะช่าง,PERSON,1
9,โหนกนูนอุสภชายบุรุษอุสภราชสินะ,PERSON,1
9,โหนกสินะ,PERSON,1
9,คืนนี้,TIME,1
10,ทหาร,ORGANIZATION,1
10,คณิกา,PERSON,1
10,ท่านพี่,PERSON,1
10,น้อง,PERSON,1
10,น้องสามา,PERSON,2
10,พระบรมศาสดาสัมมาสัมพุทธเจ้าพระมหา,PERSON,1
10,พระศาสดาครั้น,PERSON,1
10,พระอาจารย์สึกขอรับ,PERSON,1
10,พี่,PERSON,2
10,สามา,PERSON,13
10,สามาก็เฝ้าคร่ำครวญถึงมหาโจร,PERSON,1
10,สามามอบทรัพย์พัน,PERSON,1
10,สามาหลอกบุตรเศรษฐีทรัพย์,PERSON,1
10,สามาเฝ้าคร่ำครวญถึงมหา,PERSON,1
10,สามาเฝ้ามหาโจรตั้งแต่นั้นมาสามาก็,PERSON,1
10,เจ้า,PERSON,1
10,เฝ้า,PERSON,1
11,กาย,PERSON,1
11,ชายชาวนาขยันพักชายแดนแคว้นพุทธกาลเจ้าชายเจ้าชายสิทธัตถะ,PERSON,1
11,ชายแดนแคว้นชายชาวนา,PERSON,1
11,ชาวนาลงมือ,PERSON,1
11,น้อง,PERSON,2
11,น้องปลื้ม,PERSON,1
11,น้องหญิง,PERSON,2
11,น้องหญิงชายขุด,PERSON,1
11,น้องหญิงพี่,PERSON,1
11,น้องเตรียม,PERSON,1
11,ผ้าท่านพี่,PERSON,1
11,พระปรีชา,PERSON,1
11,พระสัมมาสัมพุทธเจ้า,PERSON,2
11,พระสัมมาสัมพุทธเจ้าเมตตา,PERSON,1
11,พระอาจารย์,PERSON,1
11,สมเด็จพระพระเจ้า,PERSON,1
11,สมเด็จพระสัมมาสัมพุทธเจ้า,PERSON,1
11,อรหันต์จิตใจภิกษุหนุ่ม,PERSON,1
12,พาราณสี,LOCATION,1
12,องค์ราชา,ORGANIZATION,1
12,ข่าวลือ,PERSON,1
12,พระ,PERSON,1
12,พระเจ้าเสนทโกศล,PERSON,3
12,พระเจ้าเสนทโกศลกราบทูลองค์พระศาสดาตรัส,PERSON,1
12,พระเจ้าเสนทโกศลเสด็จเข้าเฝ้าพระสัมมาพระมหาวิหารพระมหาวิหารพระเจ้าเสนทโกศล,PERSON,1
12,พระเมตตาพระเจ้าพรหมทัต,PERSON,1
12,พระเมตตาหญิงชายคู่,PERSON,1
12,พี่กอดให้หาย,PERSON,1
12,พี่อำมาตย์,PERSON,2
12,สมเด็จพระบรมศาสดา,PERSON,3
12,อำมาตย์ผู้รับพระบัญชา,PERSON,2
12,เมียชั่วไอ้เลวกล้าทรยศ,PERSON,1
13,กรุงพาราณสี,LOCATION,2
13,กษัตริย์อธรรม,PERSON,3
13,กษัตริย์อธรรมปกครองพาราณสีกษัตริย์อธรรมพาราณสี,PERSON,1
13,กษัตริย์อธรรมปิ่น,PERSON,1
13,กษัตริย์อธรรมเสด็จประพาสชนบทเมืองพาราณสีหญิงงาม,PERSON,1
13,คร่ำครวญฐาน,PERSON,1
13,ท้าวสักกะเทวราช,PERSON,1
13,ท้าวสักกะเทวราชท้าวสักกะเสด็จลงมากษัตริย์อธรรมลานประหาร,PERSON,1
13,น้อง,PERSON,1
13,พระตรัสเล่าธรรม,PERSON,1
13,พระราช,PERSON,1
13,พระราชาอธรรมกำเนิดเทวทัตท้าวสักกะเทวราชกำเนิดพระสุชาดากำเนิด,PERSON,1
13,พระเจ้าค่ะหม่อมฉัน,PERSON,1
13,พระเวฬุวันมหา,PERSON,1
13,พี่พี่โธ่เอ๋ย,PERSON,1
13,มณิโจรชาดกพระเจ้าอธรรมพระเจ้าอธรรมพระสัมมาสัมพุทธเจ้าเสด็จพระเวฬุวันมหาพระเจ้า,PERSON,1
13,ราชบุรุษปิ่นมณีเกวียน,PERSON,1
13,สุชาดา,PERSON,1
13,สุชาดาภรรยานางงามคร่ำครวญกษัตริย์อธรรม,PERSON,1
13,สุชาดาหญิงสาวชาวชนบท,PERSON,1
13,สุชาดาเกวียน,PERSON,1
13,หญิงงามอธรรม,PERSON,1
13,หญิงสาวชนบทจิตอธิษฐานบุญ,PERSON,1
13,เพชฌฆาตอธรรมท้าวสักกะเทวราช,PERSON,1
13,เมืองพาราณสี,PERSON,1
13,เฮ้ย,PERSON,1
13,โธ่ไม่น่าเลยพระองค์,PERSON,1
14,ร่าง,LAW,1
14,นคร,LOCATION,2
14,กองทัพ,ORGANIZATION,1
14,กองทัพ,PERSON,1
14,ครั้นกาล,PERSON,1
14,ทรัพย์,PERSON,1
14,นครชักช้า,PERSON,1
14,พระทวาร,PERSON,1
14,พระทวารพระโอรสองค์ทรงมอบราชสมบัติ,PERSON,1
14,พระพระองค์ตัณหาพระโอรสองค์,PERSON,1
14,พระพราหมณ์ดำรงพระศาสดา,PERSON,1
14,พระศาสดาครั้น,PERSON,1
14,พระศาสดาชาวนาสร่างโศก,PERSON,1
14,พระศาสดาทรงกระทำปฏิสันถารกับพราหมณ์ชาวนา,PERSON,1
14,พระศาสดาทรงกระทำพราหมณ์,PERSON,1
14,พระศาสดาทอดพระเนตรพราหมณ์ถูกความเสียใจครอบงำ,PERSON,1
14,พระศาสดาประทับมหา,PERSON,1
14,พระเจ้าพรหมทัตพระราชโอรส,PERSON,1
14,พระโอรสองค์ครั้นต่อมาพระเจ้าพรหมทัต,PERSON,1
14,พระโอรสองค์โทมนัส,PERSON,1
14,พราหมณ์ข้าวของ,PERSON,1
14,พี่อาศัยสกุลเศรษฐีโปรดพี่,PERSON,1
14,ราชสมบัติส่วยพระอนุชา,PERSON,1
14,องค์พระศาสดาเสด็จ,PERSON,1
14,องค์พระเจ้า,PERSON,1
14,อารมณ์,PERSON,1
15,ชั้นดาวดึงส์,LOCATION,1
15,หมู่อำมาตย์,LOCATION,1
15,ห้องพระบรรทม,LOCATION,2
15,แล้วทรงพระราชบิดาพระ,ORGANIZATION,1
15,ช่างงาม,PERSON,1
15,ดาวดึงส์พิภพพระราชธิดาอุทัยภัทรทรงมีรูปปั้นทองชมพูนุช,PERSON,1
15,ดูกรพระนางราชกุมารีผู้ทรงพระเจริญ,PERSON,1
15,ธรรมพระราชโอรสอุทัยภัทร,PERSON,1
15,น้อง,PERSON,1
15,น้องหญิง,PERSON,1
15,ประพฤติธรรม,PERSON,2
15,ประพฤติธรรมพื้นทรัพย์,PERSON,1
15,ผู้หญิงงามไซร้,PERSON,1
15,พระ,PERSON,1
15,พระฉวีวรรณไซร้,PERSON,1
15,พระนางผู้ทรงพระเจริญ,PERSON,1
15,พระนางพระนางอุทัยภัทรพระเจ้าอุทัยภัทรสิ้นพระชนม์หม่อมฉันถวายถาดเงินอันเต็มไปด้วยแด่พระนาง,PERSON,1
15,พระนางอุทัยภัทร,PERSON,3
15,พระราชกุมารนั้น,PERSON,1
15,พระราชธิดาอุทัยภัทรแคว้นพระโอรสอุทัยภัทรพระประสงค์พระเจ้า,PERSON,1
15,พระราชบิดา,PERSON,1
15,พระราชโอรสอุทัยภัทรพระราชธิดาอุทัยภัทรประทับ,PERSON,1
15,พระราชโอรสอุทัยภัทรพระราชบิดา,PERSON,1
15,พระศาสดา,PERSON,1
15,พระศาสดาชี้ทาง,PERSON,1
15,พระสัตว์สมบัติ,PERSON,1
15,พระเจ้าทำการอภิเษกพระราชโอรสอุทัยภัทรพระราชธิดาอุทัยภัทรดูกร,PERSON,1
15,พระเจ้าพระนางอุทัยภัทร,PERSON,1
15,พระเจ้าเสวยราชสมบัติสุรุนนครแคว้น,PERSON,1
15,พระโอรสอุทัยภัทร,PERSON,1
15,พระโอรสอุทัยภัทรพระราชธิดาอุทัยภัทรองค์พระศาสดาเสด็จประทับพระมหา,PERSON,1
15,พระโอรสอุทัยภัทรสวรรคตพระนางอุทัยภัทรทรงมีพระประสงค์,PERSON,1
15,หญิงงามดังรูปปั้นทองคำ,PERSON,1
15,หญิงทองพระราชบิดาพระราชมารดาทรงอภิเษกพระโอรสอุทัยภัทร,PERSON,1
15,หม่อมฉันสุรุนนครแคว้น,PERSON,1
15,อัครมเหสีให้กำเนิดราชโอรสพระประสงค์พระเจ้า,PERSON,1
15,อุทัยภัทร,PERSON,1
15,อุทัยภัทรจักทรัพย์จักธรรมเปลื้องข้อผูกพันแล้วจึง,PERSON,1
15,อุทัยภัทรจำเริญพระเจ้าพระมเหสีเมืองสุรุนนครแคว้น,PERSON,1
15,อุทัยภัทรราชกุมารี,PERSON,1
15,เสวยราชสมบัติสุรุนนคร,PERSON,1
15,เหรียญมาสกทองคำพระนางอุทัยภัทรห้องบรรทมพระนางพระฉวีวรรณ,PERSON,1
16,กรุง,LOCATION,1
16,กรุงพาราณสี,LOCATION,1
16,กรุงโกศล,LOCATION,3
16,กองทัพ,ORGANIZATION,1
16,ปากแท้ๆ,PERSON,1
16,พระ,PERSON,1
16,พระบรมศาสดาสัมมาสัมพุทธเจ้าพระวิหาร,PERSON,1
16,พระราชากรุงโกศลยกทัพ,PERSON,1
16,พระวิหารเชตวัน,PERSON,1
16,พระวิหารเชตวันพระเจ้าพระวิหารเชตวันพระสัมมาสัมพุทธเจ้า,PERSON,1
16,พระศาสดา,PERSON,2
16,พระเจ้าพรหมทัตพาราณสีครั้นพระเจ้าโกศล,PERSON,1
16,พระเจ้าโกศลกบฏจากชายแดนแคว้น,PERSON,1
16,พระเจ้าโกศลเข้าเฝ้าพระบรมศาสดาพระวิหารเชตวัน,PERSON,1
16,ลิงขโมยถั่วดำเจ้าลิง,PERSON,1
16,อำมาตย์ผู้สอนธรรม,PERSON,1
17,พราหมณ์มานพตักศิลาข้าม,LAW,1
17,พราหมณ์ตักศิลา,ORGANIZATION,1
17,กิเลสจิตใจพระสัมมาสัมพุทธเจ้าธรรมพระเชตวันมหาวิหารญาณวิเศษ,PERSON,1
17,คู่สุขพี่,PERSON,1
17,จิตใจพราหมณ์,PERSON,1
17,น้อง,PERSON,1
17,พระเชตวันมหาวิหาร,PERSON,1
17,พี่,PERSON,1
17,พี่พี่,PERSON,1
17,รติ,PERSON,1
17,รติศึกษาไตรเพท,PERSON,1
17,วรรณะพราหมณ์สำนักแก้ว,PERSON,1
17,สำนักจิตสันโดษสุข,PERSON,1
17,อาจารย์,PERSON,1
18,หมู่สงฆ์,LOCATION,1
18,เขตหิมพานต์,LOCATION,1
18,ชฎิล,ORGANIZATION,1
18,ชายป่าหิมพานต์,ORGANIZATION,1
18,หิน,ORGANIZATION,1
18,ถั่ว,PERSON,1
18,ท่านดาบสเทศนาธรรม,PERSON,1
18,ธรรม,PERSON,1
18,พระดาบส,PERSON,1
18,พระดาบสชฎิลพเนจร,PERSON,1
18,พระพระดาบสชรา,PERSON,1
18,พระสัมมาสัมพุทธเจ้า,PERSON,1
18,พระสัมมาสัมพุทธเจ้าประทับแคว้นมคธ,PERSON,1
18,พระสัมมาสัมพุทธเจ้าเสด็จประทับพระมหาแคว้น,PERSON,1
18,พระเจ้า,PERSON,1
18,พระเทวทัตเถระปล่อยช้างนาฬคิรี,PERSON,1
18,พุทธข้อข้อธรรมภิกษุสงฆ์,PERSON,1
18,พุทธช้างนาฬคิรี,PERSON,1
18,เจ้าช้างเอ๋ย,PERSON,1
18,เจ้าพิราบ,PERSON,1
18,เจ้าพิราบเอ๋ยมากิน,PERSON,1
18,เมล็ดถั่วพญาพิราบ,PERSON,1
19,ไม้ยุงตัวบินนายพราน,LAW,1
19,สัตว์,LOCATION,1
19,นายพรานได้รับบาดเจ็บ,ORGANIZATION,1
19,ตบยุง,PERSON,1
19,พระศาสดา,PERSON,1
19,พระศาสดาชาดก,PERSON,1
19,พระสัมมาสัมพุทธเจ้าสืบอนุสนธิประชุมชาดก,PERSON,1
19,พระสัมมาสัมมาสัมพุทธเจ้า,PERSON,1
19,มนุษย์ถึงขนาดหาวิธีไล่ยุง,PERSON,1
19,ยุงก็กัด,PERSON,1
19,หมูป่า,PERSON,1
19,อาชีพค้าขายแคว้นพระบรมศาสดาภิกษุสงฆ์,PERSON,1
19,แคว้น,PERSON,1
20,เสมือนหนึ่งความเจ็บปวดบอดจิก,LAW,1
20,เหยียบสัตว์สัตว์,LOCATION,1
20,แม่จ่า,LOCATION,1
20,กระจ่อย,PERSON,1
20,ขอบคุณท่านพญาจ่า,PERSON,1
20,จ่าโขลง,PERSON,1
20,จ่าโขลงชาติช้าง,PERSON,1
20,จ่าโขลงช้าง,PERSON,1
20,ชาดกมาสาภิกษุ,PERSON,1
20,ญาณกิกชาดกมาสาพระโพธิสัตว์เสวยพระชาติพญาช้างพรายป่าพระโพธิสัตว์เสวยพระชาติพญาช้างพรายพญาช้างจ่าโขลง,PERSON,1
20,ท่านพญาช้างก็เมตตา,PERSON,1
20,ท่านพญาช้างโปรดเมตตา,PERSON,1
20,ท่านฮ่า,PERSON,1
20,พญาช้างจ่าโขลงที่ผ่านมา,PERSON,1
20,พระศาสดา,PERSON,3
20,พระเทวทัต,PERSON,1
20,พระเทวทัตพญาช้างจ่าโขลงเสวยพระชาติพระชาดกปสฺสกิกปสฺสเวรเวรเวร,PERSON,1
20,พุทธกาลดินแดนชมพูทวีปพุทธกาลดินแดนชมพูทวีป,PERSON,1
20,พ่อเกเร,PERSON,1
20,ลันลันลันลูก,PERSON,1
20,ลูกไส้ลูก,PERSON,1
20,วางแผนในทันทีไส้,PERSON,1
20,สถาปนาพระพุทธศาสนา,PERSON,1
20,สัตว์ภิกษุพระเทวทัต,PERSON,1
20,ฮ่า,PERSON,1
20,เจ้าช้างเกเร,PERSON,1
20,เจ้าช้างเดินช้างร่างกายแหลกเละ,PERSON,1
20,แก้แค้นช้างเกเรเชือก,PERSON,1
20,แม่,PERSON,1
20,แม่แม่แม่,PERSON,2
20,โขลงช้างโขลงช้างก็,PERSON,1
20,โธ่ลูกแม่,PERSON,1
20,ไม่ต้องกลัวนะจ๊ะลูกแม่,PERSON,1
20,ไส้,PERSON,16
20,ไส้ขวางทางช้างอย่าง,PERSON,1
20,ไส้ช้างตาย,PERSON,1
20,ไส้ช้างเกเรเชือก,PERSON,1
20,ไส้บินเข้าไปอย่างมีความสุข,PERSON,1
20,ไส้ประคบประ,PERSON,1
20,ไส้ลูก,PERSON,1
20,ไส้อย่า,PERSON,1
20,ไส้แม้แต่น้อย,PERSON,1
21,ของมิตวินทุกะ,LOCATION,2
21,มิตวินทุกะ,LOCATION,1
21,เกาะ,LOCATION,3
21,เกาะกลาง,LOCATION,1
21,เกาะข้างหน้า,LOCATION,2
21,เกาะแก้ว,LOCATION,1
21,โอ้,ORGANIZATION,1
21,กำเนิดเด็กน้อยมิตวินทุกะ,PERSON,1
21,ของมิตวินทุกะ,PERSON,1
21,งดงาม,PERSON,1
21,น้อง,PERSON,1
21,พระพุทธ,PERSON,1
21,พระพุทธศาสดาพุทธปรารภมิต,PERSON,1
21,พระพุทธศาสดาเจ้าเทศนาข้อ,PERSON,1
21,พุทธ,PERSON,1
21,พ่อแม่,PERSON,1
21,มานิมีชีวิต,PERSON,1
21,มานิเปรต,PERSON,2
21,มานิเปรตชดใช้กรรมรออยู่ความสุข,PERSON,1
21,มิตวินทุกะความสุข,PERSON,1
21,วินทุกะกำเนิด,PERSON,1
21,เกาะกลางโอ้ปราสาทแก้ว,PERSON,1
21,เอ้ออกเรือ,PERSON,1
21,แท้ๆ,PERSON,1
21,โพธิสัตว์บาปกรรมของมิตวินทุกะ,PERSON,1
22,กรุงพาราณสี,LOCATION,2
22,มาร,ORGANIZATION,2
22,จันมาร,PERSON,2
22,ท่านพี่มหิมาร,PERSON,1
22,น้องคนเล็ก,PERSON,1
22,น้ำ,PERSON,1
22,พระ,PERSON,1
22,พระทรงมี,PERSON,1
22,พระภิกษุหนุ่มรูปนี้,PERSON,1
22,พระมาร,PERSON,1
22,พระมเหสีโอรส,PERSON,1
22,พระเจ้า,PERSON,1
22,พระเจ้าพรหมทัตครองราชย์สมบัติ,PERSON,1
22,พระเสด็จสวรรคตมหิ,PERSON,1
22,มหิมาร,PERSON,1
23,พาราณสี,ORGANIZATION,1
23,สำนักพระ,ORGANIZATION,2
23,บัณฑิตบัณฑิตไปหาดีกว่า,PERSON,1
23,พระอำมาตย์บัณฑิต,PERSON,1
23,พระเจ้าพรหมทัตช้างเชือกชื่อพลายมหิมุข,PERSON,1
23,พระเทวทัต,PERSON,2
23,พลายมหิ,PERSON,1
23,พลายมหิมุข,PERSON,1
23,พลายมหิมุขกำเนิด,PERSON,1
23,พลายมหิมุขช่างช้างพาราณสี,PERSON,1
23,วันหนึ่งพลายมหิมุขตกมันเกะกะโรงช้าง,PERSON,1
23,สนทนาธรรม,PERSON,1
23,สนทนาธรรมพลายมหิมุข,PERSON,1
23,สีสะ,PERSON,1
23,ฮ่า,PERSON,1
23,เอ้พลายมหิมุข,PERSON,1
23,เฮ้ยเฮ้ย,PERSON,1
24,นครพระพุทธนครพระพุทธ,ORGANIZATION,1
24,น้อง,PERSON,1
24,น้องรัก,PERSON,1
24,น้องไร้,PERSON,1
24,บำเพ็ญ,PERSON,1
24,ป่า,PERSON,1
24,พระสัมมาสัมพุทธเจ้าตรัสพระญาติ,PERSON,1
24,พระสัมมาสัมพุทธเจ้าประทับพระมหา,PERSON,1
24,พากัน,PERSON,1
24,เทพท้าวพระ,PERSON,1
25,พระพุทธศาสดา,LOCATION,1
25,รัก,ORGANIZATION,1
25,ตำหนักท้ายวัง,PERSON,1
25,ทหารวังเมตตา,PERSON,1
25,ธิดาพระราชา,PERSON,1
