entity_type,word,frequency,rank
LAW,โกรกลัมพราหมณ์,1,29
LAW,หอกอีกหนึ่งพันเล่มปักขาวเสียงร้องกึกก้องเสียงนันทเสนหอกอีกหนึ่งพันเล่มเทวดาอารักขาพระเจ้ากาลิงล้ม,1,30
LAW,ร่างทองคำ,1,31
LAW,ปังปังปัง,1,32
LAW,ธรรมมหาชนโกสิเศรษฐี,1,33
LAW,เมืองย่ะฤๅษี,1,34
LAW,นักบวชพระราชาบ่นพึมพำหลังจากที่พระราชาบ่นพึมพำไปมา,1,35
LAW,ฮัดบรรดาพระภิกษุ,1,36
LAW,ไหมเด็กชายพยักหน้าถ้าอย่างนั้นชาย,1,37
LAW,ศาลาศาลาเฝ้าท่านพ่อนอน,1,38
LAW,ชายเดี๋ยวเจ้าตัวเอ่ยก่อนที่ชายร่างกำยำ,1,39
LAW,หรอกล่ะ,1,40
LAW,พระราชาไหม,1,41
LAW,ย่ะท่านอาจารย์รู้ไปยังเช้าต่อมา,1,42
LAW,พรึบพรึบ,1,43
LAW,ร่างสองร่างที่นางตามหา,1,44
LAW,ไหมย่ะเด็กหนุ่มไหมพระราชามีท่าทีปุโรหิตแล้วจะย่ะ,1,45
LAW,พระมเหสีตอนนี้ผลไม้กระหม่อมทาสหนุ่มพระพระมเหสีประทับหม่อมฉันย่ะ,1,46
LAW,กระหม่อมพระเทวีดวงตาคู่เจ้ารักไหมเรื่องรักกระหม่อม,1,47
LAW,สุดท้าย,1,48
LAW,พระราชาเมืองสาวิถี,1,49
LAW,พาราณสีหรอใบหน้า,1,50
LAW,ตึงตึงตึง,1,51
LAW,สลัก,1,52
LAW,หมู่บ้านเช้าต่อมาพระคุณเจ้าขอนิมนต์เจ้าค่ะมือข้าวท่านพักที่นี่เจ้าคะ,1,53
LAW,วันรุ่งขึ้นขอบใจ,1,54
LAW,มหาชาดกวิถีชีวิตพอเพียงดังนี้,1,55
LAW,เจ้าขับขอเดชะ,1,56
LAW,ภิกษุภิกษุ,1,57
LAW,พระราชอุทยานพี่,1,58
LAW,กุมารพระเจ้าพรหมทัต,1,59
LAW,พายเรือโอรสกุมารเล่นน้ำกลาง,1,60
LAW,พระองค์,1,61
LAW,ย่ะหม่อมฉัน,1,62
LAW,พระเจ้าพาราณสีพราหมณ์ท่านอาจารย์ไปยังสำนักวิธุรพราหมณ์ทองคำพัน,1,63
LAW,เล็บเข็มกลักช่างเหล็กพากันปรบมือผ้าช่างเหล็ก,1,64
LAW,ป่าพระคุณเจ้าพระคุณเจ้า,1,65
LAW,ท้าวสักกะท้าวสักกะ,1,66
LAW,พระเจ้าข้าอำนาจกิเลสพระเจ้าข้าดูก่อนภิกษุขึ้นชื่อว่า,1,67
LAW,เมืองเอ่ยรัก,1,68
LAW,ธรรมเท้าเพราะเหตุใดเท้า,1,69
LAW,วังวานรทั้งสองวันหนึ่งกาฬพาหุ,1,70
LAW,อาศรมสระบัวสระดอกบัวอ่อนแสงอาทิตย์วันหนึ่งฤาษีเดินกลิ่นดอกบัว,1,71
LAW,เมือง,1,72
LAW,สี่พระเจ้าโกศลพระทัย,1,73
LAW,มนต์มนต์วิเศษจิตใจวันหนึ่งพระโพธิสัตว์สาธยายมนต์,1,74
LOCATION,กรุงพาราณสี,63,1
LOCATION,เมืองพาราณสี,46,2
LOCATION,เมือง,33,3
LOCATION,กรุง,20,4
LOCATION,พาราณสี,17,5
LOCATION,เกาะ,9,6
LOCATION,ป่าหิมพานต์,8,7
LOCATION,กรุงโกศล,7,8
LOCATION,หมู่,6,9
LOCATION,เมืองสาวัตถี,5,10
LOCATION,เมืองตักศิลา,4,11
LOCATION,เมืองสาเกต,4,12
LOCATION,นคร,4,13
LOCATION,พระ,4,14
LOCATION,แม่,4,15
LOCATION,ชั้น,4,16
LOCATION,สวนหลวง,4,17
LOCATION,แผ่นหิน,3,18
LOCATION,พระศาสดา,3,19
LOCATION,บ้าน,3,20
LOCATION,เกาะกลางแม่น้ำ,3,21
LOCATION,แม่น้ำ,3,22
LOCATION,มหา,3,23
LOCATION,พระราชอุทยาน,3,24
LOCATION,หิม,3,25
LOCATION,กรุงทวาราวดี,3,26
LOCATION,น้ำ,3,27
LOCATION,เมืองสาวิถี,3,28
LOCATION,ศาลา,3,29
LOCATION,กรุงสาวัตถี,2,30
LOCATION,ห้องพระบรรทม,2,31
LOCATION,ของมิตวินทุกะ,2,32
LOCATION,เกาะข้างหน้า,2,33
LOCATION,เกาะกลาง,2,34
LOCATION,แคว้น,2,35
LOCATION,สาวัตถี,2,36
LOCATION,เจ็ด,2,37
LOCATION,วัด,2,38
LOCATION,ช่างสลักหิน,2,39
LOCATION,กอง,2,40
LOCATION,สองพี่น้อง,2,41
LOCATION,พระเชตวันมหาวิหาร,2,42
LOCATION,นครตักศิลา,2,43
LOCATION,แม่ด้วง,2,44
LOCATION,วัดแห่งหนึ่ง,2,45
LOCATION,น้ำลึก,2,46
LOCATION,หงส์ทอง,2,47
LOCATION,อุทยานเมืองพาราณสี,2,48
LOCATION,ศาลาริมน้ำ,2,49
LOCATION,พรหมทัตราชา,2,50
LOCATION,เมืองเวสาลี,2,51
LOCATION,เมืองโกกาลิกรัฐ,2,52
LOCATION,แม่มหาจำเริญ,2,53
LOCATION,เกาะตามพโอ้,1,54
LOCATION,เกาะตามพปัณณิ,1,55
LOCATION,เกาะยักษิณี,1,56
LOCATION,บ้านของพราหมณ์เฒ่า,1,57
LOCATION,ป่าท้ายเฒ่า,1,58
LOCATION,ชั้นบ้านพี่,1,59
LOCATION,วัดปฏิบัติธรรม,1,60
LOCATION,เกาะกิ่งไม้,1,61
LOCATION,เทหะประทับราชรถ,1,62
LOCATION,หงส์,1,63
LOCATION,พาราณสีสวดพระปริตร,1,64
LOCATION,น้ำพระมเหสี,1,65
LOCATION,นกยูงเกาะยอดเขา,1,66
LOCATION,กรุงสาวัตถีบ้านเศรษฐี,1,67
LOCATION,หมู่ภิกษุ,1,68
LOCATION,หมู่อำมาตย์,1,69
LOCATION,ชั้นดาวดึงส์,1,70
LOCATION,หมู่สงฆ์,1,71
LOCATION,เขตหิมพานต์,1,72
LOCATION,สัตว์,1,73
LOCATION,เหยียบสัตว์สัตว์,1,74
LOCATION,แม่จ่า,1,75
LOCATION,มิตวินทุกะ,1,76
LOCATION,เกาะแก้ว,1,77
LOCATION,พระพุทธศาสดา,1,78
LOCATION,บึง,1,79
LOCATION,วังเล่าพระเจ้าคะ,1,80
LOCATION,วิหารเชตวัน,1,81
LOCATION,ชั้นแน่ๆ,1,82
LOCATION,โกศลเองก็,1,83
LOCATION,พระเทวี,1,84
LOCATION,ปูนอนผืนเก่า,1,85
LOCATION,ป่าข้างหน้า,1,86
LOCATION,หมู่บ้านแห่งหนึ่ง,1,87
LOCATION,หิมประเทศหิมประเทศ,1,88
LOCATION,เจ้าสาวลิง,1,89
LOCATION,ป่าเหยียบโดน,1,90
LOCATION,พระมหาวิหาร,1,91
LOCATION,แม่น้ำพระนคร,1,92
LOCATION,เอกพุทธกาล,1,93
LOCATION,เมืองสี่,1,94
LOCATION,สำนักพญานิโครธประเสริฐ,1,95
LOCATION,เจ้าชายเมืองพาราณสีปัญจาวุธกุมาร,1,96
LOCATION,กรุงพาราณสีโดยเร็ว,1,97
LOCATION,เสด็จแม่เสด็จแม่เสด็จแม่แน่ๆ,1,98
LOCATION,ตามลำพัง,1,99
LOCATION,ถ้ำแห่งหนึ่ง,1,100
LOCATION,คิริทัตพระเจ้าสามะตัวปัณฑ,1,101
LOCATION,ลาน,1,102
LOCATION,กลางลานโล่ง,1,103
LOCATION,สาวัตถีแคว้น,1,104
LOCATION,พาราณสีนคร,1,105
LOCATION,นครโกศล,1,106
LOCATION,ของมหา,1,107
LOCATION,ช่างสลักหินคาบเหรียญกษาปณ์สมบัติ,1,108
LOCATION,สวนหลวงปัญจพระเจ้าปัญจราช,1,109
LOCATION,โรงสลาก,1,110
LOCATION,บ้านโน้น,1,111
LOCATION,หรอก,1,112
LOCATION,กินเน่า,1,113
LOCATION,เน่า,1,114
LOCATION,เศวตฉัตร,1,115
LOCATION,เหนื่อย,1,116
LOCATION,เฝ้าพระราชอุทยาน,1,117
LOCATION,แม่ดีใจจริงๆ,1,118
LOCATION,ไปยังนคร,1,119
LOCATION,วังทั้งหลายกิน,1,120
LOCATION,ตตรปถมหาสาครราช,1,121
LOCATION,สำนักอุปกังสะอุปราช,1,122
LOCATION,นครนคร,1,123
LOCATION,พระเชตวัน,1,124
LOCATION,พระเชตวันมหา,1,125
LOCATION,ตักศิลา,1,126
LOCATION,วัดนะจ๊ะป้า,1,127
LOCATION,หมู่บ้านโน้นนะจ๊ะ,1,128
LOCATION,สาวัตถีแคว้นโกศล,1,129
LOCATION,น้ำอาบ,1,130
LOCATION,แม่แพะ,1,131
LOCATION,หลวง,1,132
LOCATION,เมืองแล้วจึงรับสั่งให้พระเทวีเข้าเฝ้า,1,133
LOCATION,เถระ,1,134
LOCATION,ศัตรูสัตว์,1,135
LOCATION,ป่า,1,136
LOCATION,แม่น้ำยมุนา,1,137
LOCATION,กำจัดราชา,1,138
LOCATION,เมืองพาราณสีไปยังเมืองสาเกต,1,139
LOCATION,เมืองสาเกตไปยังเมืองสาวัตถี,1,140
LOCATION,สาม,1,141
LOCATION,แม่แมวป่า,1,142
LOCATION,บ้านตำบล,1,143
LOCATION,วัดพระโกกาลิกะ,1,144
LOCATION,ดวงตา,1,145
LOCATION,พระเจ้าพิมพิสาร,1,146
LOCATION,เมืองตักกสิสำนักสอนศาสตร์,1,147
LOCATION,เมืองตักกสิ,1,148
LOCATION,สาย,1,149
LOCATION,เกาะกลางทะเล,1,150
LOCATION,ปราณี,1,151
LOCATION,แม่น้ำสายพากัน,1,152
LOCATION,คลุมหนัง,1,153
LOCATION,เมืองพาราณสีพระศาสดา,1,154
LOCATION,เวสาลี,1,155
LOCATION,เมืองตักกสิอาจารย์,1,156
LOCATION,เมืองตักกสิโจร,1,157
LOCATION,มหาพระศาสดา,1,158
LOCATION,วังกระเรียนได้ยิน,1,159
LOCATION,พระราชา,1,160
LOCATION,เจ้าพระพุทธศาสนา,1,161
LOCATION,เสียงพระ,1,162
LOCATION,หมู่สหาย,1,163
LOCATION,ท่าอัมพะ,1,164
LOCATION,หมู่พุทธ,1,165
LOCATION,ผ้า,1,166
LOCATION,ล่ะ,1,167
LOCATION,เรือนเศรษฐี,1,168
LOCATION,เมืองเมืองสาวิถี,1,169
LOCATION,เมืองสาวิถีกษัตริย์เมืองพาราณสี,1,170
LOCATION,เมืองเช้า,1,171
LOCATION,พระลาน,1,172
LOCATION,ถ้ำทองเหนือชะง่อน,1,173
LOCATION,ถ้ำทอง,1,174
LOCATION,ถ้ำทองสัตว์,1,175
LOCATION,พระราชวัง,1,176
LOCATION,ห้องพระมเหสี,1,177
LOCATION,ชนบท,1,178
LOCATION,เมืองชนบท,1,179
LOCATION,พระราชวังเมืองพาราณสีมากนัก,1,180
LOCATION,พระราชาเมืองพาราณสี,1,181
LOCATION,ถ้ำ,1,182
LOCATION,หิน,1,183
LOCATION,ทอง,1,184
LOCATION,คู่,1,185
LOCATION,สัตว์สี่,1,186
LOCATION,กรุงพาราณสีเอ๋ย,1,187
LOCATION,กรุงพาราณสีสดับ,1,188
LOCATION,อินทปัตถนคร,1,189
LOCATION,หมู่บ้าน,1,190
LOCATION,ตึกตึก,1,191
LOCATION,บ้านเช้า,1,192
LOCATION,อีกครั้ง,1,193
LOCATION,ทำการสดุดีพระมหาสัตว์,1,194
LOCATION,หมู่เทพ,1,195
LOCATION,หญิงสาว,1,196
LOCATION,น้ำบ่อ,1,197
LOCATION,กรุงพาราณสีบทเพลง,1,198
LOCATION,ประตูวังประตู,1,199
LOCATION,มหาชนพระพุทธองค์,1,200
LOCATION,อุทยาน,1,201
LOCATION,กรุงพาราณสีพระโพธิสัตว์,1,202
LOCATION,แม่เนื้อทราย,1,203
LOCATION,กลางแม่น้ำ,1,204
LOCATION,ราชา,1,205
LOCATION,นครเทวทหะ,1,206
LOCATION,แม่น้ำคงคา,1,207
LOCATION,หมู่มนุษย์,1,208
LOCATION,เมืองพาราณสีเช้าวันรุ่งขึ้น,1,209
LOCATION,วัง,1,210
LOCATION,พระมหาสัตว์,1,211
LOCATION,กรุงพระศาสดา,1,212
LOCATION,ถนนปราสาท,1,213
LOCATION,พระสัตว์,1,214
LOCATION,เกาะกลางมหาสมุทร,1,215
LOCATION,หมู่พระมหาเถระ,1,216
LOCATION,เข้าเฝ้าพระศาสดา,1,217
LOCATION,เมืองตัก,1,218
LOCATION,ตะคร้อ,1,219
LOCATION,พระนคร,1,220
LOCATION,หมู่มนุษย์ปานฟ้า,1,221
LOCATION,พระเจ้าวิราช,1,222
LOCATION,ชั้นที่สามก็,1,223
LOCATION,โทษพระมหา,1,224
LOCATION,หิมประเทศบวช,1,225
LOCATION,ออกบวช,1,226
LOCATION,ไปหาพระมหาโมคคัลลานะ,1,227
LOCATION,พระราชาเจ็ด,1,228
LOCATION,หิมประเทศกัปาบส,1,229
LOCATION,เกสวดาบสทูลพระราชาตรัส,1,230
LOCATION,หิมประเทศพระราชาอำมาตย์,1,231
LOCATION,อำมาตย์,1,232
LOCATION,วานร,1,233
LOCATION,หมู่มิตร,1,234
LOCATION,บ้านส่วย,1,235
LOCATION,ภิกษุ,1,236
LOCATION,ลานหลวง,1,237
LOCATION,ชั้นสี่,1,238
LOCATION,เกาะจระเข้,1,239
LOCATION,สงบ,1,240
LOCATION,ป่าลึก,1,241
LOCATION,กรุงพาราณสีสัตว์เมือง,1,242
MONEY,ชาติ,12,1
MONEY,ผืน,4,2
MONEY,ชาติชาติ,2,3
MONEY,พระ,2,4
MONEY,แสน,2,5
MONEY,เชือก,1,6
MONEY,โยชน์,1,7
MONEY,บาท,1,8
MONEY,ฝ่าบาท,1,9
MONEY,พัน,1,10
MONEY,ภรรยาข้าพระ,1,11
ORGANIZATION,กองทัพ,10,1
ORGANIZATION,มาร,6,2
ORGANIZATION,สำนักทิศาปาโมกข์,5,3
ORGANIZATION,สำนักพระ,5,4
ORGANIZATION,พระ,5,5
ORGANIZATION,พระศาสดา,4,6
ORGANIZATION,สำนักพระศาสดา,4,7
ORGANIZATION,ช้าง,4,8
ORGANIZATION,สำนัก,4,9
ORGANIZATION,ราช,3,10
ORGANIZATION,สำนักภิกษุณี,3,11
ORGANIZATION,ธนุบัณฑิต,3,12
ORGANIZATION,โคตร,2,13
ORGANIZATION,ธนุเถระ,2,14
ORGANIZATION,พ่อเจ้า,2,15
ORGANIZATION,คณะฤๅษี,2,16
ORGANIZATION,กองทัพศัตรู,2,17
ORGANIZATION,คณะฤาษี,2,18
ORGANIZATION,คณะดาบส,2,19
ORGANIZATION,พระบรมศาสดา,2,20
ORGANIZATION,ผู้ใช้ปัญญาเมตตา,2,21
ORGANIZATION,ป่าอิสิ,2,22
ORGANIZATION,สำนักของอาจารย์,1,23
ORGANIZATION,พราหมณ์เมืองตักศิลา,1,24
ORGANIZATION,อีกครั้งหนึ่ง,1,25
ORGANIZATION,สำนักท่านอาจารย์,1,26
ORGANIZATION,ทหาร,1,27
ORGANIZATION,องค์ราชา,1,28
ORGANIZATION,แล้วทรงพระราชบิดาพระ,1,29
ORGANIZATION,พราหมณ์ตักศิลา,1,30
ORGANIZATION,หิน,1,31
ORGANIZATION,ชายป่าหิมพานต์,1,32
ORGANIZATION,ชฎิล,1,33
ORGANIZATION,นายพรานได้รับบาดเจ็บ,1,34
ORGANIZATION,โอ้,1,35
ORGANIZATION,พาราณสี,1,36
ORGANIZATION,นครพระพุทธนครพระพุทธ,1,37
ORGANIZATION,รัก,1,38
ORGANIZATION,เถระ,1,39
ORGANIZATION,รู้สึก,1,40
ORGANIZATION,รักไพเราะป่าขับเพลงพงไพร,1,41
ORGANIZATION,รสชาติหนอนที่นี่,1,42
ORGANIZATION,ศีรษะสมุนไพรนี้,1,43
ORGANIZATION,กุรุง,1,44
ORGANIZATION,สำนักสำนักพระเทวทัตสำนักพระพุทธเจ้า,1,45
ORGANIZATION,สัตย์สัตย์,1,46
ORGANIZATION,ศิษย์พระฉัพพัีย์,1,47
ORGANIZATION,สำนักภิกษุณีพระตะวัน,1,48
ORGANIZATION,สำนักพระพุทธองค์,1,49
ORGANIZATION,รังชาดก,1,50
ORGANIZATION,การบำเพ็ญทานมหาชน,1,51
ORGANIZATION,ป้ากิน,1,52
ORGANIZATION,สำนักทิศาปาโมกข์เมืองตักศิลา,1,53
ORGANIZATION,พ่อค้าวาณิช,1,54
ORGANIZATION,ธนูสายฝนตักศิลา,1,55
ORGANIZATION,ท่านพญาช้าง,1,56
ORGANIZATION,รักแม่ช้างรักแม่เค้าแม่ช้างก็พญาช้าง,1,57
ORGANIZATION,กองทัพให้ได้,1,58
ORGANIZATION,สำนักพระศาสดาบวชสำนักพระเทวทัต,1,59
ORGANIZATION,ท้าวสักเทวราช,1,60
ORGANIZATION,รีบหนี,1,61
ORGANIZATION,ดาบ,1,62
ORGANIZATION,กุมาร,1,63
ORGANIZATION,แคว้นโกศล,1,64
ORGANIZATION,ลูกรัก,1,65
ORGANIZATION,ซัก,1,66
ORGANIZATION,สำนักสาปาโมกข์,1,67
ORGANIZATION,าฬิเทวดา,1,68
ORGANIZATION,าฬิ,1,69
ORGANIZATION,ช้างเฮ้ยเหม็น,1,70
ORGANIZATION,อุปัชฌาย์,1,71
ORGANIZATION,ลูกรักเจ้า,1,72
ORGANIZATION,พี่เจ้า,1,73
ORGANIZATION,สำนักวันหนึ่ง,1,74
ORGANIZATION,เมืองตักศิลา,1,75
ORGANIZATION,ธัมมสำนักลูกศิษย์แทน,1,76
ORGANIZATION,นครตักศิลา,1,77
ORGANIZATION,พระนครตักศิลา,1,78
ORGANIZATION,สำนักวิทยาการ,1,79
ORGANIZATION,สำนักทิศาโมก,1,80
ORGANIZATION,กังสะราชโอรส,1,81
ORGANIZATION,มานพ,1,82
ORGANIZATION,เหล้า,1,83
ORGANIZATION,เจ้ากินลูกรัก,1,84
ORGANIZATION,ลูกแม่ขอโทษลูก,1,85
ORGANIZATION,ดาบส,1,86
ORGANIZATION,ผัวรักผัวหลง,1,87
ORGANIZATION,สำนักอาจารย์ทิศาปาโมกข์พราหมณ์,1,88
ORGANIZATION,ของมัน,1,89
ORGANIZATION,ธนุ,1,90
ORGANIZATION,แล้วก็บิน,1,91
ORGANIZATION,พระมเหสี,1,92
ORGANIZATION,หลั่งไหลสละกิเลส,1,93
ORGANIZATION,กองทัพทหารขนาดใหญ่,1,94
ORGANIZATION,สุดท้อง,1,95
ORGANIZATION,พระดาบส,1,96
ORGANIZATION,แคว้นกาลิงรัฐ,1,97
ORGANIZATION,แคว้นอัสรัฐ,1,98
ORGANIZATION,เสียงร้อง,1,99
ORGANIZATION,ปากพระฤาษี,1,100
ORGANIZATION,ฆาตกรโฉด,1,101
ORGANIZATION,สัตว์ป่าหิมพานต์,1,102
ORGANIZATION,ท่าน,1,103
ORGANIZATION,สำนักภิกษุณีล่วงรู้ไปยังภิกษุณีรูปอื่น,1,104
ORGANIZATION,สำนักมานพนั้น,1,105
ORGANIZATION,ท้าวสักกะถามมหาชนท่านทั้งหลาย,1,106
ORGANIZATION,คณะนักบวช,1,107
ORGANIZATION,สำนักพระสารีบุตร,1,108
ORGANIZATION,พระปัจเจกพุทธเจ้า,1,109
ORGANIZATION,องค์ชายองค์ชายย่ะเปล่า,1,110
ORGANIZATION,กองทัพเมืองพาราณสี,1,111
ORGANIZATION,คู่,1,112
ORGANIZATION,ปรัน,1,113
ORGANIZATION,ต้นไม้,1,114
ORGANIZATION,กองทัพเมือง,1,115
ORGANIZATION,กองทัพพระราชา,1,116
ORGANIZATION,สำนักหนาวโธ่,1,117
ORGANIZATION,เด็ก,1,118
ORGANIZATION,ประชุมกัน,1,119
ORGANIZATION,แก้ปัญหามหาชน,1,120
ORGANIZATION,สำนักช่างออกบวช,1,121
ORGANIZATION,เจ็ดพี่น้อง,1,122
ORGANIZATION,เศรษฐี,1,123
ORGANIZATION,พระประยูรญาติพระราช,1,124
ORGANIZATION,โศก,1,125
ORGANIZATION,พากันชื่นชมศรัทธา,1,126
ORGANIZATION,อิสิสิง,1,127
ORGANIZATION,กินกิน,1,128
ORGANIZATION,ร้อยโยชน์,1,129
ORGANIZATION,แม่,1,130
ORGANIZATION,ของดาบส,1,131
ORGANIZATION,หวานปาก,1,132
ORGANIZATION,คิดได้,1,133
ORGANIZATION,ดีแล้วดีแล้ว,1,134
ORGANIZATION,ปลาย,1,135
ORGANIZATION,ธรรมมหาชน,1,136
ORGANIZATION,สิรินันทสหาย,1,137
ORGANIZATION,คณะดาบสพระเจ้าข้า,1,138
ORGANIZATION,สำนักพระคุณเจ้าพระถ้าอย่างนั้น,1,139
ORGANIZATION,สัตว์กินเป็นปกติ,1,140
ORGANIZATION,ธรรม,1,141
ORGANIZATION,สัจธรรม,1,142
ORGANIZATION,ท่านฤๅษี,1,143
ORGANIZATION,พหุจินตีอัปจินตีมิตจินตี,1,144
ORGANIZATION,เมืองปัญญา,1,145
ORGANIZATION,ธาตุ,1,146
ORGANIZATION,กองเกวียน,1,147
ORGANIZATION,สำนักหัตถปาลกุมาร,1,148
ORGANIZATION,สำนักบุตร,1,149
ORGANIZATION,ปัญญา,1,150
ORGANIZATION,มหาชน,1,151
ORGANIZATION,แพ้ท้องกิน,1,152
ORGANIZATION,คนใช้,1,153
ORGANIZATION,แม่รับเงิน,1,154
PERSON,พระ,182,1
PERSON,พระศาสดา,154,2
PERSON,น้อง,73,3
PERSON,น้องหญิง,57,4
PERSON,พระสัมมาสัมพุทธเจ้า,48,5
PERSON,พระเจ้า,27,6
PERSON,พี่,26,7
PERSON,สมเด็จพระสัมมาสัมพุทธเจ้า,23,8
PERSON,พระราชอุทยาน,23,9
PERSON,ยักษ์,22,10
PERSON,พราหมณี,21,11
PERSON,พระเทวทัต,21,12
PERSON,เจ้า,19,13
PERSON,พระสารีบุตร,19,14
PERSON,พระปัจเจกพุทธเจ้า,17,15
PERSON,ไส้,16,16
PERSON,ธรรม,15,17
PERSON,โจร,15,18
PERSON,อินสมานโคตร,14,19
PERSON,หนู,14,20
PERSON,สามา,13,21
PERSON,น้องพี่,12,22
PERSON,พระเทวี,12,23
PERSON,พระโอรส,12,24
PERSON,พระจีวร,11,25
PERSON,พระมเหสี,11,26
PERSON,พระฤาษี,11,27
PERSON,ยักษิณี,10,28
PERSON,พระดาบส,10,29
PERSON,หญิง,10,30
PERSON,พระตถาคต,9,31
PERSON,น้องเอ๋ย,9,32
PERSON,สมเด็จพระพระเจ้า,9,33
PERSON,เศรษฐี,9,34
PERSON,พระพระ,9,35
PERSON,พระศาสดาตรัส,8,36
PERSON,พระราช,8,37
PERSON,พระอานนท์,8,38
PERSON,พระอริ,8,39
PERSON,ฮ่าฮ่าฮ่า,8,40
PERSON,พระศาสดาเสด็จ,8,41
PERSON,กระเรียน,8,42
PERSON,พราหมณ์,8,43
PERSON,สุมังคละ,8,44
PERSON,สำเภา,7,45
PERSON,พระศาสดาครั้น,7,46
PERSON,สมเด็จพระบรมศาสดา,7,47
PERSON,ฮ่า,7,48
PERSON,น้องรัก,7,49
PERSON,ขทิรวน,7,50
PERSON,พระมหา,7,51
PERSON,พระเจ้าพรหมทัต,7,52
PERSON,พระเถระ,7,53
PERSON,พระโกกาลิกะ,7,54
PERSON,ทาสี,7,55
PERSON,คามจันท์,7,56
PERSON,แม่,6,57
PERSON,น้องหญิงพี่,6,58
PERSON,สุนัขจิ้งจอก,6,59
PERSON,พระพระศาสดา,6,60
PERSON,แก้วมณี,6,61
PERSON,จุลธนุบัณฑิต,6,62
PERSON,มัณฑดาบส,6,63
PERSON,ลูก,5,64
PERSON,พระเชตวันมหาวิหาร,5,65
PERSON,พระุมพิกเถระ,5,66
PERSON,พระเจ้าเสนทโกศล,5,67
PERSON,อาจารย์,5,68
PERSON,ราชสีห์,5,69
PERSON,พระฉัพพัีย์,5,70
PERSON,ภิกษุณี,5,71
PERSON,พระสัตว์,5,72
PERSON,วัณทาสี,5,73
PERSON,พระวิหาร,5,74
PERSON,นันท,5,75
PERSON,มานพ,5,76
PERSON,พระกุมาร,5,77
PERSON,พี่น้อง,4,78
PERSON,แคว้น,4,79
PERSON,ป่า,4,80
PERSON,พากัน,4,81
PERSON,มิตพินทุ,4,82
PERSON,สวรรค์,4,83
PERSON,พระสารีบุตรเถระ,4,84
PERSON,เอ้,4,85
PERSON,พราหมณ์โกสิ,4,86
PERSON,ญาณ,4,87
PERSON,พระพระเจ้า,4,88
PERSON,เวฬุ,4,89
PERSON,พระเจ้าพระ,4,90
PERSON,อาชาโภชชาน,4,91
PERSON,กุเวร,4,92
PERSON,เจ้าพระ,4,93
PERSON,อาจารย์ทิศา,4,94
PERSON,พระเชตวัน,4,95
PERSON,นาค,4,96
PERSON,แก้วมณีดวง,4,97
PERSON,จัณฑาล,4,98
PERSON,พระมหาสัตว์,4,99
PERSON,พระนักขัต,4,100
PERSON,พระโพธิ์สัตว์,3,101
PERSON,ฟัง,3,102
PERSON,นกยูง,3,103
PERSON,ท่านพี่,3,104
PERSON,กษัตริย์อธรรม,3,105
PERSON,เฮ้ย,3,106
PERSON,ทรัพย์,3,107
PERSON,พระราชบิดา,3,108
PERSON,พระนางอุทัยภัทร,3,109
PERSON,ประพฤติธรรม,3,110
PERSON,มานิเปรต,3,111
PERSON,ลุงนันท,3,112
PERSON,นันททาส,3,113
PERSON,กิน,3,114
PERSON,บรรลุธรรม,3,115
PERSON,สมเด็จ,3,116
PERSON,โกสิพราหมณ์,3,117
PERSON,โกสิ,3,118
PERSON,สมเด็จพระเจ้า,3,119
